/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
CAM2SYSTEMS					_("CAM2 SYSTEMS")
CAM2DEFENSES				_("CAM2 DEFENSES")
CAM2STRUCTURES				_("CAM2 STRUCTURES")
//CAM2-COWall					_("CAM2 Collective Wall")
CAM3RESEARCH				_("CAM3 RESEARCH")
//CAM3VEHICLES				_("CAM3 VEHICLES")
//CAM3CYBORGS					_("CAM3 CYBORGS")
//CAM3WEAPONS					_("CAM3 WEAPONS")
//CAM3SYSTEMS					_("CAM3 SYSTEMS")
//CAM3DEFENSES				_("CAM3 DEFENSES")
//CAM3NOTUSED				_("CAM3 NOT USED")
//CAM3-NXWall					_("CAM3 NEXUS Wall")

//R-Comp-IDFAccuracy01			"*IDF Fire Accuracy*"
R-Comp-CommandTurret01			_("Command Turret")
R-Comp-SynapticLink			_("Synaptic Link")

R-Comp-MissileCodes01			_("Missile Targeting Codes") 
R-Comp-MissileCodes02			_("Second Level Missile Targeting Codes")
R-Comp-MissileCodes03			_("Third Level Missile Firing Codes")

R-Cyborg-Armor-Heat01			_("Cyborg Thermal Armor")
R-Cyborg-Armor-Heat02			_("Cyborg Thermal Armor Mk2")
R-Cyborg-Armor-Heat03			_("Cyborg Thermal Armor Mk3")
R-Cyborg-Armor-Heat04			_("Cyborg High Intensity Thermal Armor")
R-Cyborg-Armor-Heat05			_("Cyborg High Intensity Thermal Armor Mk2")
R-Cyborg-Armor-Heat06			_("Cyborg High Intensity Thermal Armor Mk3")

R-Cyborg-Metals01				_("Cyborg Composite Alloys")
R-Cyborg-Metals02				_("Cyborg Composite Alloys Mk2")
R-Cyborg-Metals03				_("Cyborg Composite Alloys Mk3")
R-Cyborg-Metals04				_("Cyborg Dense Composite Alloys")
R-Cyborg-Metals05				_("Cyborg Dense Composite Alloys Mk2")
R-Cyborg-Metals06				_("Cyborg Dense Composite Alloys Mk3")
R-Cyborg-Metals07				_("Cyborg Superdense Composite Alloys")
R-Cyborg-Metals08				_("Cyborg Superdense Composite Alloys Mk2")
R-Cyborg-Metals09				_("Cyborg Superdense Composite Alloys Mk3")
//R-Cyborg-Metals10				_("Cyborg Bonded Laminates")

R-Cyborg-Wpn-BB				_("Bunker Blaster Cyborg")
R-Cyborg-Wpn-Cannon			_("Heavy Gunner Cyborg") 
R-Cyborg-Wpn-Flamer			_("Flamer Cyborg")
R-Cyborg-Wpn-MG				_("Machinegunner Cyborg")
R-Cyborg-Wpn-Rocket			_("Lancer Cyborg")
R-Cyborg-Wpn-RotMG-Grd			_("Assault Gunner Cyborg")
R-Cyborg-Wpn-Rail1-Grd			_("Needle Gunner Cyborg")
R-Cyborg-Wpn-ATMiss-Grd			_("Scourge Cyborg")
R-Cyborg-Wpn-Laser1-Grd			_("Flashlight Gunner Cyborg")

R-Cyborg-Wpn-BB-Jump			_("Jump Bunker Blaster")
R-Cyborg-Wpn-Cannon-Jump		_("Jump Heavy Gunner")
R-Cyborg-Wpn-Rocket-Jump		_("Jump Lancer")
R-Cyborg-Wpn-RotMG-Jump			_("Jump Assault Gunner")
R-Cyborg-Wpn-Rail1-Jump			_("Jump Needle Gunner")
R-Cyborg-Wpn-ATMiss-Jump		_("Jump Scourge")
R-Cyborg-Wpn-Laser1-Jump		_("Jump Flashlight Gunner")

R-Cyborg-Jump01				_("Cyborg Jump Pack")
R-Cyborg-Legs01				_("Cyborg Propulsion")
R-Cyborg-Legs02				_("Cyborg Propulsion II")
R-Cyborg-Legs03				_("Cyborg Propulsion III")

/* RESEARCH - DEFENSES */
R-Defense-HardcreteWall			_("Hardcrete")
//R-Defense-HardcreteWall-CO		_("CO-Hardcrete")
R-Defense-HardcreteWall-NP		_("NP-Hardcrete")
//R-Defense-HardcreteWall-NX		_("NX-Hardcrete")
R-Defense-WallUpgrade01			_("Improved Hardcrete")
R-Defense-WallUpgrade02			_("Improved Hardcrete Mk2")
R-Defense-WallUpgrade03			_("Improved Hardcrete Mk3")
R-Defense-WallUpgrade04			_("Supercrete")
R-Defense-WallUpgrade05			_("Supercrete Mk2")
R-Defense-WallUpgrade06			_("Supercrete Mk3")
R-Defense-WallUpgrade07			_("Plascrete")
R-Defense-WallUpgrade08			_("Plascrete Mk2")
R-Defense-WallUpgrade09			_("Plascrete Mk3")
//R-Defense-WallUpgrade10			_("Plasteel")

R-Defense-AASite-QuadBof		_("Cyclone AA Flak Site")
R-Defense-AASite-QuadMg1		_("Hurricane AA Site")
R-Defense-AASite-QuadRotMg		_("Whirlwind AA Site")
R-Defense-AASite-TwinBof		_("Tornado AA Flak Site")

R-Defense-Emplacement-HPVcannon	_("HPV Cannon Emplacement")

R-Defense-Howitzer			_("Howitzer Emplacement")
R-Defense-HvyA-Trocket			_("Tank Killer Emplacement")
R-Defense-HvyFlamer			_("Inferno Emplacement")
R-Defense-HvyHowitzer			_("Ground Shaker Emplacement")
R-Defense-HvyMor				_("Bombard Pit")

//R-Defense-IncHow				_("Hellfire Emplacement")
R-Defense-IDFRocket			_("Ripple Rocket Battery")

R-Defense-MdArtMissile			_("Angel Missile Battery")
R-Defense-HvyArtMissile			_("Archangel Missile Battery")
R-Defense-MortarPit			_("Mortar Pit")
R-Defense-MRL				_("Mini-Rocket Battery")

R-Defense-Pillbox01			_("Machinegun Bunker")
R-Defense-Pillbox03			_("Heavy Machinegun Bunker")
R-Defense-Pillbox04			_("Light Cannon Bunker")
R-Defense-Pillbox05			_("Flamer Bunker")
R-Defense-Pillbox06			_("Lancer Bunker")
R-Defense-PulseLas			_("Pulse Laser Emplacement")

R-DefenssLas				_("Flashlight Emplacement")

R-Defense-Rail2				_("Rail Gun Emplacement")
R-Defense-Rail3				_("Gauss Cannon Emplacement")
R-Defense-RotCannon			_("Assault Cannon Emplacement")
R-Defense-RotHow				_("Hellstorm Emplacement")
R-Defense-RotMG				_("Assault Gun Emplacement")
R-Defense-RotMor				_("Pepperpot Pit")

R-Defense-SamSite1			_("Avenger SAM Site")
R-Defense-SamSite2			_("Vindicator SAM Site")

R-Defense-TankTrap01			_("Tank Traps")
R-Defense-TankTrap02			_("Dragon's Teeth")

R-Defense-Tower01				_("Machinegun Guard Tower")
R-Defense-Tower03				_("Heavy Machinegun Guard Tower")
R-Defense-Tower04				_("Flamer Guard Tower")
R-Defense-Tower05				_("Lancer Guard Tower")
R-Defense-Tower06				_("Mini-Rocket Guard Tower")

R-Defense-GuardTower-ATMiss		_("Scourge Missile Tower")
R-Defense-GuardTower-Rail1		_("Needle Gun Tower")	

R-Defense-WallTower01			_("Heavy Machinegun Hardpoint")
R-Defense-WallTower02			_("Light Cannon Hardpoint")
R-Defense-WallTower03			_("Medium Cannon Hardpoint")
R-Defense-WallTower04			_("Heavy Cannon Hardpoint")
R-Defense-WallTower05			_("Flamer Hardpoint")
R-Defense-WallTower06			_("Lancer Hardpoint")
R-Defense-Wall-RotMg			_("Assault Gun Hardpoint")
R-Defense-Wall-VulcanCan		_("Assault Cannon Hardpoint")
R-Defense-WallTower-A-Tmiss		_("Scourge Missile Hardpoint")
R-Defense-WallTower-HvyFlamer		_("Inferno Hardpoint")
R-Defense-WallTower-HvyA-Trocket	_("Tank Killer Hardpoint")
R-Defense-WallTower-HPVcannon		_("HPV Cannon Hardpoint")
R-Defense-WallTower-PulseLas		_("Flashlight Hardpoint")
R-Defense-WallTower-Rail2		_("Rail Gun Hardpoint")
R-Defense-WallTower-Rail3		_("Gauss Cannon Hardpoint")

R-Struc-CommandRelay			_("Command Relay Post")

R-Struc-Factory-Cyborg			_("Cyborg Factory")
R-Struc-Factory-Cyborg-Upgrade01	_("Automated Cyborg Production")
R-Struc-Factory-Cyborg-Upgrade02	_("Automated Cyborg Production Mk2")
R-Struc-Factory-Cyborg-Upgrade03	_("Automated Cyborg Production Mk3")
R-Struc-Factory-Cyborg-Upgrade04	_("Robotic Cyborg Production")
R-Struc-Factory-Cyborg-Upgrade05	_("Robotic Cyborg Production Mk2")
R-Struc-Factory-Cyborg-Upgrade06	_("Robotic Cyborg Production Mk3")
R-Struc-Factory-Cyborg-Upgrade07	_("Advanced Cyborg Production")
R-Struc-Factory-Cyborg-Upgrade08	_("Advanced Cyborg Production Mk2")
R-Struc-Factory-Cyborg-Upgrade09	_("Advanced Cyborg Production Mk3")
//R-Struc-Factory-Cyborg-Upgrade10	_("Self-Replicating Cyborg Production")
R-Struc-Factory-Module			_("Factory Module")
R-Struc-Factory-Upgrade01		_("Automated Factory Production")
R-Struc-Factory-Upgrade02		_("Automated Factory Production Mk2")
R-Struc-Factory-Upgrade03		_("Automated Factory Production Mk3")
R-Struc-Factory-Upgrade04		_("Robotic Factory Production")
R-Struc-Factory-Upgrade05		_("Robotic Factory Production Mk2")
R-Struc-Factory-Upgrade06		_("Robotic Factory Production Mk3")
R-Struc-Factory-Upgrade07		_("Advanced Factory Production")
R-Struc-Factory-Upgrade08		_("Advanced Factory Production Mk2")
R-Struc-Factory-Upgrade09		_("Advanced Factory Production Mk3")
//R-Struc-Factory-Upgrade10		_("Self-Replicating Factory Production")
	
R-Struc-Materials01			_("Reinforced Base Structure Materials")
R-Struc-Materials02			_("Reinforced Base Structure Materials Mk2")
R-Struc-Materials03			_("Reinforced Base Structure Materials Mk3")
R-Struc-Materials04			_("Hardened Base Structure Materials")
R-Struc-Materials05			_("Hardened Base Structure Materials Mk2")
R-Struc-Materials06			_("Hardened Base Structure Materials Mk3")
R-Struc-Materials07			_("Advanced Base Structure Materials")
R-Struc-Materials08			_("Advanced Base Structure Materials Mk2")
R-Struc-Materials09			_("Advanced Base Structure Materials Mk3")
//R-Struc-Materials10			_("High Density Base Structure Materials")

R-Struc-PowerModuleMk1			_("Power Module")
R-Struc-Power-Upgrade01			_("Gas Turbine Generator")
R-Struc-Power-Upgrade02			_("Vapor Turbine Generator")

R-Struc-RepairFacility			_("Repair Facility")
R-Struc-RprFac-Upgrade01		_("Automated Repair Facility")
R-Struc-RprFac-Upgrade02		_("Automated Repair Facility Upgrade Mk2")
R-Struc-RprFac-Upgrade03		_("Automated Repair Facility Upgrade Mk3")
R-Struc-RprFac-Upgrade04		_("Robotic Repair Facility Upgrade")
R-Struc-RprFac-Upgrade05		_("Robotic Repair Facility Upgrade Mk2")
R-Struc-RprFac-Upgrade06		_("Robotic Repair Facility Upgrade Mk3")
R-Struc-RprFac-Upgrade07		_("Advanced Repair Facility Upgrade")
R-Struc-RprFac-Upgrade08		_("Advanced Repair Facility Upgrade Mk2")
R-Struc-RprFac-Upgrade09		_("Advanced Repair Facility Upgrade Mk3")

R-Struc-Research-Module			_("Research Module")
R-Struc-Research-Upgrade01		_("Synaptic Link Data Analysis")
R-Struc-Research-Upgrade02		_("Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade03		_("Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade04		_("Dedicated Synaptic Link Data Analysis")
R-Struc-Research-Upgrade05		_("Dedicated Synaptic Link Data Analysis Mk2")
R-Struc-Research-Upgrade06		_("Dedicated Synaptic Link Data Analysis Mk3")
R-Struc-Research-Upgrade07		_("Neural Synapse Research Brain")
R-Struc-Research-Upgrade08		_("Neural Synapse Research Brain Mk2")
R-Struc-Research-Upgrade09		_("Neural Synapse Research Brain Mk3")

R-Struc-VTOLPad				_("VTOL Rearming Pad")
R-Struc-VTOLPad-Upgrade01		_("Automated VTOL Rearming")
R-Struc-VTOLPad-Upgrade02		_("Automated VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade03		_("Automated VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade04		_("Robotic VTOL Rearming")
R-Struc-VTOLPad-Upgrade05		_("Robotic VTOL Rearming Mk2")
R-Struc-VTOLPad-Upgrade06		_("Robotic VTOL Rearming Mk3")
R-Struc-VTOLPad-Upgrade07		_("Robotic VTOL Rearming Mk4")
R-Struc-VTOLFactory			_("VTOL Factory")
R-Struc-VTOLFactory-Upgrade01		_("Robotic VTOL Production")
R-Struc-VTOLFactory-Upgrade02		_("Robotic VTOL Production Mk2")
R-Struc-VTOLFactory-Upgrade03		_("Robotic VTOL Production Mk3")
R-Struc-VTOLFactory-Upgrade04		_("Advanced VTOL Production")
R-Struc-VTOLFactory-Upgrade05		_("Advanced VTOL Production Mk2")
R-Struc-VTOLFactory-Upgrade06		_("Advanced VTOL Production Mk3")

R-Sys-Autorepair-Cyborg			_("Cyborg Self-Repair")
R-Sys-Autorepair-Cyborg-Upgrade01	_("Automated Cyborg Repair Mk2")
R-Sys-Autorepair-Cyborg-Upgrade02	_("Automated Cyborg Repair Mk3")

R-Sys-Autorepair-Def			_("Defenses Self-Repair")
R-Sys-Autorepair-Def-Upgrade01	_("Automated Defenses Repair Mk2")
R-Sys-Autorepair-Def-Upgrade02	_("Automated Defenses Repair Mk3")

R-Sys-Autorepair-Struc			_("Base Structure Self-Repair")
R-Sys-Autorepair-Struc-Upgrade01	_("Automated Base Structure Repair Mk2")
R-Sys-Autorepair-Struc-Upgrade02	_("Automated Base Structure Repair Mk3")

R-Sys-Autorepair-Vehicle		_("Vehicle Self-Repair")
R-Sys-Autorepair-Vehicle-Upgrade01	_("Automated Vehicle Repair Mk2")
R-Sys-Autorepair-Vehicle-Upgrade02	_("Automated Vehicle Repair Mk3")

R-Sys-Sensor-Upgrade01			_("Sensor Upgrade")

R-Sys-Spade1Mk1				_("Construction Unit")

R-Sys-Engineering01			_("Engineering")
R-Sys-Engineering02			_("Improved Engineering")
R-Sys-Engineering03			_("Advanced Engineering")

R-Sys-MobileRepairTurret01		_("Mobile Repair Turret")
R-Sys-MobileRepairTurret02		_("Heavy Mobile Repair Turret")
R-Sys-MobileRepairTurret-01		_("Mobile Repair Upgrade")
R-Sys-MobileRepairTurret-02		_("Mobile Repair Upgrade Mk2")

R-Sys-Sensor-Turret01			_("Sensor Turret")
R-Sys-Sensor-Tower01			_("Sensor Tower")
R-Sys-Sensor-Tower02			_("Hardened Sensor Tower")

R-Sys-CBSensor-Turret01			_("CB Turret")
R-Sys-CBSensor-Tower01			_("CB Tower")
R-Sys-CBSensor-Upgrade01		_("CB Sensor Upgrade")
R-Sys-CBSensor-Upgrade02		_("CB Sensor Upgrade 2")
R-Sys-CBSensor-Upgrade03		_("CB Sensor Upgrade 3")

R-Sys-VTOLCBS-Turret01			_("VTOL CB Turret")
//R-Sys-VTOL-RadarTower01		_("VTOL Radar Tower")
R-Sys-VTOLCBS-Tower01			_("VTOL CB Tower")
R-Sys-VTOLCBS-Upgrade01			_("VTOL CB Upgrade")
R-Sys-VTOLCBS-Upgrade02			_("VTOL CB Upgrade 2")
R-Sys-VTOLCBS-Upgrade03			_("VTOL CB Upgrade 3")
R-Sys-VTOLStrike-Upgrade01		_("VTOL Strike Upgrade")
R-Sys-VTOLStrike-Upgrade02		_("VTOL Strike Upgrade Mk2")
R-Sys-VTOLStrike-Upgrade03		_("VTOL Strike Upgrade Mk3")
R-Sys-VTOLStrike-Turret01		_("VTOL Strike Turret")
R-Sys-VTOLStrike-Tower01		_("VTOL Strike Tower")

R-Sys-SpyTurret				_("Scrambler Turret")
R-Sys-SpyTurret-Upgrade01		_("Improved Scrambler")
R-Sys-SpyTurret-Upgrade02		_("Scrambler Turret Mk2")

R-Sys-Resistance				_("NEXUS Intruder Program")
R-Sys-Resistance-Upgrade01		_("NEXUS Resistance Circuits")
R-Sys-Resistance-Upgrade02		_("NEXUS Resistance Circuits Mk2")
R-Sys-Resistance-Upgrade03		_("NEXUS Resistance Circuits Mk3")

R-Sys-SensorLock				_("Sensor Lock")


/* RESEARCH - VEHICLES */
R-Vehicle-Armor-Heat01			_("Thermal Armor")
R-Vehicle-Armor-Heat02			_("Thermal Armor Mk2")
R-Vehicle-Armor-Heat03			_("Thermal Armor Mk3")
R-Vehicle-Armor-Heat04			_("High Intensity Thermal Armor")
R-Vehicle-Armor-Heat05			_("High Intensity Thermal Armor Mk2")
R-Vehicle-Armor-Heat06			_("High Intensity Thermal Armor Mk3")

R-Vehicle-Body01				_("Light Body - Viper")
R-Vehicle-Body02				_("Light Body - Leopard")
R-Vehicle-Body03				_("Light Body - Retaliation")
R-Vehicle-Body04				_("Light Body - Bug")
R-Vehicle-Body05				_("Medium Body - Cobra")
R-Vehicle-Body06				_("Medium Body - Panther")
R-Vehicle-Body07				_("Medium Body - Retribution")
R-Vehicle-Body08				_("Medium Body - Scorpion")
R-Vehicle-Body09				_("Heavy Body - Tiger")
R-Vehicle-Body10				_("Heavy Body - Vengeance")
R-Vehicle-Body11				_("Heavy Body - Python")
R-Vehicle-Body12				_("Heavy Body - Mantis")
	
R-Vehicle-Engine01			_("Fuel Injection Engine")
R-Vehicle-Engine02			_("Fuel Injection Engine Mk2")
R-Vehicle-Engine03			_("Fuel Injection Engine Mk3")
R-Vehicle-Engine04			_("Turbo-Charged Engine")
R-Vehicle-Engine05			_("Turbo-Charged Engine Mk2")
R-Vehicle-Engine06			_("Turbo-Charged Engine Mk3")
R-Vehicle-Engine07			_("Gas Turbine Engine")
R-Vehicle-Engine08			_("Gas Turbine Engine Mk2")
R-Vehicle-Engine09			_("Gas Turbine Engine Mk3")
//R-Vehicle-Engine10			_("Ionizing Turbine Engine")

R-Vehicle-Metals01			_("Composite Alloys")
R-Vehicle-Metals02			_("Composite Alloys Mk2")
R-Vehicle-Metals03			_("Composite Alloys Mk3")
R-Vehicle-Metals04			_("Dense Composite Alloys")
R-Vehicle-Metals05			_("Dense Composite Alloys Mk2")
R-Vehicle-Metals06			_("Dense Composite Alloys Mk3")
R-Vehicle-Metals07			_("Superdense Composite Alloys")
R-Vehicle-Metals08			_("Superdense Composite Alloys Mk2")
R-Vehicle-Metals09			_("Superdense Composite Alloys Mk3")
//R-Vehicle-Metals10			_("Bonded Laminates")
	
R-Vehicle-Prop-Hover			_("Hover Propulsion")
R-Vehicle-Prop-Hover02			_("Hover Propulsion II")
//R-Vehicle-Prop-Hover03			_("Hover Propulsion III")
R-Vehicle-Prop-Halftracks		_("Half-tracked Propulsion")
R-Vehicle-Prop-Halftracks02		_("Half-tracked Propulsion II")
//R-Vehicle-Prop-Halftracks03		_("Half-tracked Propulsion III")
R-Vehicle-Prop-Tracks			_("Tracked Propulsion")
R-Vehicle-Prop-Tracks02			_("Tracked Propulsion II")
//R-Vehicle-Prop-Tracks03			_("Tracked Propulsion III")
R-Vehicle-Prop-VTOL			_("VTOL Propulsion")
R-Vehicle-Prop-VTOL02			_("VTOL Propulsion II")
//R-Vehicle-Prop-VTOL03			_("VTOL Propulsion III")
R-Vehicle-Prop-Wheels			_("Wheeled Propulsion")
R-Vehicle-Prop-Wheels02			_("Wheeled Propulsion II")
//R-Vehicle-Prop-Wheels03			_("Wheeled Propulsion III")

R-Wpn-AAGun01				_("Tornado Flak Turret")
R-Wpn-AAGun02				_("Cyclone Flak Turret")
R-Wpn-AAGun03				_("Hurricane AA Turret")
R-Wpn-AAGun04				_("Whirlwind AA Turret")
R-Wpn-AAGun-Accuracy01			_("AA Thermal Imaging Sensor")
R-Wpn-AAGun-Accuracy02			_("AA Target Acquisition Shells")
R-Wpn-AAGun-Accuracy03			_("AA Target Prediction Computer")
R-Wpn-AAGun-Damage01			_("AA HE Flak")
R-Wpn-AAGun-Damage02			_("AA HE Flak Mk2")
R-Wpn-AAGun-Damage03			_("AA HE Flak Mk3")
R-Wpn-AAGun-Damage04			_("AA HEAP Flak")
R-Wpn-AAGun-Damage05			_("AA HEAP Flak Mk2")
R-Wpn-AAGun-Damage06			_("AA HEAP Flak Mk3")
R-Wpn-AAGun-ROF01				_("AA Ammunition Hopper")
R-Wpn-AAGun-ROF02				_("AA Ammunition Hopper Mk2")
R-Wpn-AAGun-ROF03				_("AA Ammunition Hopper Mk3")
R-Wpn-AAGun-ROF04				_("AA Chainfeed Loader")
R-Wpn-AAGun-ROF05				_("AA Chainfeed Loader Mk2")
R-Wpn-AAGun-ROF06				_("AA Chainfeed Loader Mk3")

//R-Wpn-Pbomb					_("Proximity Bomb Turret")
//R-Wpn-SPBomb				_("Proximity Superbomb Turret")

R-Wpn-Bomb01				_("Cluster Bombs Bay")
R-Wpn-Bomb02				_("HEAP Bomb Bay")
R-Wpn-Bomb03				_("Phosphor Bomb Bay")
R-Wpn-Bomb04				_("Thermite Bomb Bay")

R-Wpn-Bomb-Accuracy01			_("Thermal Imaging Bombsight")
R-Wpn-Bomb-Accuracy02			_("Laser Guided Bombsight")
R-Wpn-Bomb-Accuracy03			_("Target Acquisition Bombsight")

R-Wpn-Cannon-Accuracy01			_("Cannon Laser Rangefinder")
R-Wpn-Cannon-Accuracy02			_("Cannon Laser Designator")
R-Wpn-Cannon-Damage01			_("HEAT Cannon Shells")
R-Wpn-Cannon-Damage02			_("HEAT Cannon Shells Mk2")
R-Wpn-Cannon-Damage03			_("HEAT Cannon Shells Mk3")
R-Wpn-Cannon-Damage04			_("APFSDS Cannon Rounds")
R-Wpn-Cannon-Damage05			_("APFSDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage06			_("APFSDS Cannon Rounds Mk3")
R-Wpn-Cannon-Damage07			_("HVAPFSDS Cannon Rounds")
R-Wpn-Cannon-Damage08			_("HVAPFSDS Cannon Rounds Mk2")
R-Wpn-Cannon-Damage09			_("HVAPFSDS Cannon Rounds Mk3")

//R-Wpn-Cannon-Damage10			"*ARGH*"

R-Wpn-Cannon-ROF01			_("Cannon Autoloader")
R-Wpn-Cannon-ROF02			_("Cannon Autoloader Mk2")
R-Wpn-Cannon-ROF03			_("Cannon Autoloader Mk3")
R-Wpn-Cannon-ROF04			_("Cannon Rapid Loader")
R-Wpn-Cannon-ROF05			_("Cannon Rapid Loader Mk2")
R-Wpn-Cannon-ROF06			_("Cannon Rapid Loader Mk3")

R-Wpn-Cannon1Mk1				_("Light Cannon")
R-Wpn-Cannon2Mk1				_("Medium Cannon")
R-Wpn-Cannon3Mk1				_("Heavy Cannon")
R-Wpn-Cannon4AMk1				_("Hyper Velocity Cannon")
R-Wpn-Cannon5				_("Assault Cannon")

R-Wpn-Energy-Accuracy01			_("Improved Laser Focusing")
R-Wpn-Energy-Accuracy02			_("Improved Laser Focusing Mk2")
R-Wpn-Energy-Accuracy03			_("Improved Laser Focusing Mk3")
R-Wpn-Energy-Damage01			_("Hi-Energy Laser Emitter")
R-Wpn-Energy-Damage02			_("Hi-Energy Laser Emitter Mk2")
R-Wpn-Energy-Damage03			_("Hi-Energy Laser Emitter Mk3")
R-Wpn-Energy-ROF01			_("Thermopole Energizer")
R-Wpn-Energy-ROF02			_("Thermopole Energizer Mk2")
R-Wpn-Energy-ROF03			_("Thermopole Energizer Mk3")

R-Wpn-Flamer-Damage01			_("High Temperature Flamer Gel")
R-Wpn-Flamer-Damage02			_("High Temperature Flamer Gel Mk2")
R-Wpn-Flamer-Damage03			_("High Temperature Flamer Gel Mk3")
R-Wpn-Flamer-Damage04			_("Superhot Flamer Gel")
R-Wpn-Flamer-Damage05			_("Superhot Flamer Gel Mk2")
R-Wpn-Flamer-Damage06			_("Superhot Flamer Gel Mk3")
R-Wpn-Flamer-ROF01			_("Flamer Autoloader")
R-Wpn-Flamer-ROF02			_("Flamer Autoloader Mk2")
R-Wpn-Flamer-ROF03			_("Flamer Autoloader Mk3")
R-Wpn-Flamer01Mk1				_("Flamer")
R-Wpn-Flame2				_("Heavy Flamer - Inferno") 

R-Wpn-HowitzerMk1				_("Howitzer")
R-Wpn-HvyHowitzer				_("Heavy Howitzer - Ground Shaker")
R-Wpn-Howitzer03-Rot			_("Rotary Howitzer - Hellstorm")
//R-Wpn-Howitzer04-Inc			_("Incendiary Howitzer - Hellfire")

R-Wpn-Howitzer-Accuracy01		_("Target Acquisition Artillery Shells")
R-Wpn-Howitzer-Accuracy02		_("Target Acquisition Artillery Shells Mk2")
R-Wpn-Howitzer-Accuracy03		_("Target Prediction Artillery Shells")

R-Wpn-Howitzer-Damage01			_("HE Howitzer Shells")
R-Wpn-Howitzer-Damage02			_("HE Howitzer Shells Mk2")
R-Wpn-Howitzer-Damage03			_("HE Howitzer Shells Mk3")
R-Wpn-Howitzer-Damage04			_("HEAP Howitzer Shells")
R-Wpn-Howitzer-Damage05			_("HEAP Howitzer Shells Mk2")
R-Wpn-Howitzer-Damage06			_("HEAP Howitzer Shells Mk3")

R-Wpn-Howitzer-ROF01			_("Howitzer Autoloader")
R-Wpn-Howitzer-ROF02			_("Howitzer Autoloader Mk2")
R-Wpn-Howitzer-ROF03			_("Howitzer Autoloader Mk3")
R-Wpn-Howitzer-ROF04			_("Fast Loader")

R-Wpn-Laser01				_("Laser - Flashlight")
R-Wpn-Laser02				_("Pulse Laser")

R-Wpn-MG-Damage01				_("Hardened MG Bullets")
R-Wpn-MG-Damage02				_("APDSB MG Bullets")
R-Wpn-MG-Damage03				_("APDSB MG Bullets Mk2")
R-Wpn-MG-Damage04				_("APDSB MG Bullets Mk3")
R-Wpn-MG-Damage05				_("Tungsten-Tipped MG Bullets")
R-Wpn-MG-Damage06				_("Tungsten-Tipped MG Bullets Mk2")
R-Wpn-MG-Damage07				_("Tungsten-Tipped MG Bullets Mk3")
R-Wpn-MG-Damage08				_("Depleted Uranium MG Bullets")
R-Wpn-MG-Damage09				_("Depleted Uranium MG Bullets Mk2")

R-Wpn-MG-ROF01				_("Chaingun Upgrade")
R-Wpn-MG-ROF02				_("Rapid Fire Chaingun Upgrade")
R-Wpn-MG-ROF03				_("Hyper Fire Chaingun Upgrade")
R-Wpn-MG1Mk1				_("Machinegun")
R-Wpn-MG2Mk1				_("Twin Machinegun")
R-Wpn-MG3Mk1				_("Heavy Machinegun")
R-Wpn-MG4					_("Assault Gun")

R-Wpn-Missile-Accuracy01		_("Target Prediction Missiles")
R-Wpn-Missile-Accuracy02		_("Search & Destroy Missiles")
R-Wpn-Missile-Damage01			_("Advanced Missile Warhead")
R-Wpn-Missile-Damage02			_("Advanced Missile Warhead Mk2")
R-Wpn-Missile-Damage03			_("Advanced Missile Warhead Mk3")
R-Wpn-Missile-ROF01			_("Advanced Missile Allocation System")
R-Wpn-Missile-ROF02			_("Advanced Missile Allocation System Mk2")
R-Wpn-Missile-ROF03			_("Advanced Missile Allocation System Mk3")
R-Wpn-MissileSlow-Damage01		_("HEAP Missile Warhead")
R-Wpn-MissileSlow-Damage02		_("HEAP Missile Warhead Mk2")
R-Wpn-MissileSlow-Damage03		_("HEAP Missile Warhead Mk3")
R-Wpn-MissileSlow-ROF01			_("Improved Missile Loading System")

//R-Wpn-Missile-ASM-AT			"*Missile-ASM-AT*"
//R-Wpn-Misisile-ASM-BB			_("Devastator Missile")
R-Wpn-Missile-LtSAM			_("Avenger SAM")
R-Wpn-Missile-HvSAM 			_("Vindicator SAM")
R-Wpn-Missile2A-T				_("Scourge Missile")
R-Wpn-MdArtMissile 			_("Angel Missile")
R-Wpn-HvArtMissile 			_("Archangel Missile")
//R-Wpn-Missile-SAM			"*R-Wpn-Missile-SAM*"

R-Wpn-Mortar-Acc01			_("Mortar Targeting Computer")
R-Wpn-Mortar-Acc02			_("Thermal Imaging Mortar Shells")
R-Wpn-Mortar-Acc03			_("Target Acquisition Mortar Shells")
R-Wpn-Mortar-Damage01			_("HE Mortar Shells")
R-Wpn-Mortar-Damage02			_("HE Mortar Shells Mk2")
R-Wpn-Mortar-Damage03			_("HE Mortar Shells Mk3")
R-Wpn-Mortar-Damage04			_("HEAP Mortar Shells")
R-Wpn-Mortar-Damage05			_("HEAP Mortar Shells Mk2")
